                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1703,                 5.2681,                 4.2323,                0.00045,                0.26769,                0.00097,                0.00017,                 2.9156,                 4.6343,                 4.1575,             0.00011432,             0.00011432,             0.00011432
                      2,                 3.1463,                 5.0633,                 4.1892,                0.00062,                0.33799,                0.00204,                0.00039,                  2.907,                 4.6238,                 4.1487,             0.00024245,             0.00024245,             0.00024245
                      3,                 3.0949,                 4.9405,                 4.1043,                0.00063,                0.32623,                0.00224,                0.00041,                 2.8824,                 4.5963,                 4.1259,             0.00037007,             0.00037007,             0.00037007
                      4,                 2.9938,                 4.6763,                  3.914,                0.00073,                0.32954,                 0.0018,                0.00032,                 2.8724,                 4.5766,                 4.1162,             0.00049718,             0.00049718,             0.00049718
                      5,                 2.8484,                 4.3742,                 3.6195,                0.00078,                0.28322,                0.00172,                0.00039,                 2.8854,                 4.5557,                 4.1318,             0.00062378,             0.00062378,             0.00062378
                      6,                 2.7523,                 4.0056,                 3.4021,                0.00095,                0.42814,                0.00247,                0.00058,                 2.8781,                 4.5744,                 3.9823,             0.00074987,             0.00074987,             0.00074987
                      7,                 2.6635,                 4.0741,                 3.2849,                0.00061,                0.11282,                0.00338,                0.00077,                 2.7774,                 4.5985,                 4.0716,             0.00087545,             0.00087545,             0.00087545
                      8,                 2.4615,                 3.8323,                 3.1495,                0.00111,                0.19768,                0.00098,                0.00025,                 2.5181,                 4.7211,                 3.7428,              0.0010005,              0.0010005,              0.0010005
                      9,                  2.357,                 3.6926,                 2.9893,                0.00132,                 0.3226,                0.00161,                0.00048,                 2.4263,                 4.4498,                 3.5263,              0.0011251,              0.0011251,              0.0011251
                     10,                 2.3354,                 3.5201,                 2.9493,                0.04094,                0.19554,                0.04077,                0.01312,                 2.1106,                 3.9597,                 3.0708,              0.0012491,              0.0012491,              0.0012491
                     11,                 2.1709,                 3.3247,                  2.807,                0.17426,                0.14642,                0.07106,                0.02482,                 2.2585,                 4.8347,                 3.2009,              0.0013727,              0.0013727,              0.0013727
                     12,                 2.1658,                 3.1767,                 2.7859,                0.42406,                0.09528,                0.02138,                0.00738,                 2.3946,                  4.381,                 3.3012,              0.0013979,              0.0013979,              0.0013979
                     13,                 2.0416,                 3.0459,                 2.6795,                 0.0014,                0.33517,                0.00131,                0.00038,                 3.2545,                 45.661,                 5.5954,              0.0013979,              0.0013979,              0.0013979
                     14,                  1.967,                  2.916,                 2.6488,                0.18012,                0.27919,                 0.0879,                0.03925,                 2.1506,                 3.9393,                 3.0906,               0.001395,               0.001395,               0.001395
                     15,                 1.9401,                 2.8404,                 2.6198,                0.00515,                0.02151,                0.00672,                0.00193,                 2.4095,                 4.5532,                 3.7327,              0.0013922,              0.0013922,              0.0013922
                     16,                 1.9568,                 2.8147,                 2.5401,                0.34815,                0.19272,                0.27608,                0.09368,                 1.9285,                  3.031,                  2.712,              0.0013894,              0.0013894,              0.0013894
                     17,                 1.8501,                  2.599,                 2.4655,                0.26187,                0.28869,                 0.2378,                0.09302,                 1.9375,                 2.8028,                 2.7178,              0.0013866,              0.0013866,              0.0013866
                     18,                  1.908,                  2.562,                 2.4837,                0.24829,                0.34138,                 0.2651,                0.11904,                 1.9938,                  2.689,                 2.7144,              0.0013837,              0.0013837,              0.0013837
                     19,                 1.8505,                 2.5114,                  2.416,                0.39913,                0.29262,                0.25902,                0.10432,                 2.0659,                 2.7588,                 2.7382,              0.0013809,              0.0013809,              0.0013809
                     20,                  1.863,                 2.4525,                 2.4332,                0.40331,                0.51515,                0.46205,                0.21151,                  1.912,                 2.4402,                 2.6435,              0.0013781,              0.0013781,              0.0013781
                     21,                 1.8039,                 2.2972,                 2.3716,                0.56215,                0.48601,                0.53041,                0.24471,                 1.8403,                  2.084,                 2.5059,              0.0013752,              0.0013752,              0.0013752
                     22,                 1.7943,                  2.371,                 2.3622,                0.36102,                0.41601,                0.37715,                0.18542,                 1.9837,                 2.5848,                 2.7811,              0.0013724,              0.0013724,              0.0013724
                     23,                 1.8071,                 2.3268,                 2.3664,                0.67544,                0.60921,                0.67393,                0.35889,                 1.6364,                  1.753,                 2.2871,              0.0013696,              0.0013696,              0.0013696
                     24,                 1.7001,                 2.1668,                 2.2978,                0.60873,                0.48845,                0.57306,                0.26601,                 1.7281,                 2.0544,                 2.4235,              0.0013668,              0.0013668,              0.0013668
                     25,                 1.7263,                 2.1591,                 2.3371,                0.55151,                0.47033,                0.51815,                0.24327,                 1.8459,                 2.1209,                 2.6022,              0.0013639,              0.0013639,              0.0013639
                     26,                  1.663,                 2.1487,                 2.2869,                0.42194,                 0.4086,                0.41235,                0.21902,                 1.5973,                 2.1401,                 2.4609,              0.0013611,              0.0013611,              0.0013611
                     27,                 1.6854,                 2.1684,                 2.2717,                0.42566,                0.45807,                0.37358,                0.15417,                 1.9454,                 3.1783,                 2.5968,              0.0013583,              0.0013583,              0.0013583
                     28,                 1.7012,                 2.1609,                 2.2847,                0.49587,                0.53003,                0.48108,                0.20387,                 2.0275,                 2.6739,                 2.7946,              0.0013554,              0.0013554,              0.0013554
                     29,                 1.6932,                 2.1345,                 2.2623,                0.51062,                  0.379,                0.43346,                0.17267,                 2.0258,                 2.2077,                 2.7049,              0.0013526,              0.0013526,              0.0013526
                     30,                 1.6282,                  1.994,                 2.1772,                0.52098,                0.48702,                0.47174,                0.26578,                 1.6542,                 2.0617,                 2.3498,              0.0013498,              0.0013498,              0.0013498
                     31,                 1.6217,                 1.9128,                 2.1793,                0.61766,                0.51533,                0.55564,                0.22815,                 1.6974,                 2.3604,                 2.3942,              0.0013469,              0.0013469,              0.0013469
                     32,                 1.6262,                 1.9347,                 2.1972,                0.74299,                0.67003,                0.73468,                0.41363,                 1.4754,                 1.9311,                 2.1899,              0.0013441,              0.0013441,              0.0013441
                     33,                 1.6134,                 1.9005,                 2.1549,                0.79218,                0.55902,                0.66833,                0.37181,                 1.5899,                 1.8333,                 2.3526,              0.0013413,              0.0013413,              0.0013413
                     34,                  1.621,                 1.8645,                 2.1411,                0.67741,                0.63928,                 0.6756,                0.36868,                 1.5249,                 1.9173,                 2.2455,              0.0013385,              0.0013385,              0.0013385
                     35,                 1.6466,                  1.832,                 2.1627,                0.64029,                0.63933,                0.65961,                0.33025,                 1.7652,                 1.7847,                 2.3958,              0.0013356,              0.0013356,              0.0013356
                     36,                 1.6145,                 1.8329,                 2.1606,                0.66676,                0.59886,                0.66556,                0.34918,                 1.5292,                 1.6986,                 2.1963,              0.0013328,              0.0013328,              0.0013328
                     37,                 1.6249,                 1.8401,                 2.1678,                0.73648,                0.57147,                0.65224,                0.30237,                 1.9801,                 1.8669,                  2.706,                0.00133,                0.00133,                0.00133
                     38,                 1.5258,                 1.6878,                  2.103,                0.80206,                0.57031,                0.71113,                0.36391,                 1.6538,                 1.9955,                  2.385,              0.0013271,              0.0013271,              0.0013271
                     39,                 1.5284,                 1.7096,                 2.0952,                0.75042,                0.81576,                0.83511,                0.40155,                 1.6507,                 1.4798,                 2.2905,              0.0013243,              0.0013243,              0.0013243
                     40,                 1.5322,                 1.6959,                 2.0989,                0.76158,                0.61025,                  0.736,                0.37326,                 1.7772,                 1.8474,                 2.3482,              0.0013215,              0.0013215,              0.0013215
                     41,                 1.6398,                 1.7678,                 2.1712,                0.76608,                0.58656,                0.65055,                0.35325,                 1.7013,                 1.6665,                  2.445,              0.0013187,              0.0013187,              0.0013187
                     42,                 1.5629,                  1.715,                 2.1819,                0.60052,                 0.6605,                0.69228,                0.35832,                 1.6704,                 1.6983,                 2.3776,              0.0013158,              0.0013158,              0.0013158
                     43,                 1.5609,                 1.6914,                 2.1535,                0.74452,                0.36319,                0.52664,                0.27227,                 1.7834,                 2.2867,                 2.5565,               0.001313,               0.001313,               0.001313
                     44,                 1.5255,                 1.6335,                 2.0652,                0.63498,                0.72908,                0.76038,                0.40733,                 1.6567,                   1.54,                 2.2913,              0.0013102,              0.0013102,              0.0013102
                     45,                 1.4861,                 1.6549,                 2.0622,                0.79824,                0.73172,                0.80714,                 0.4379,                 1.6323,                 1.3861,                 2.2427,              0.0013073,              0.0013073,              0.0013073
